time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.moe_gate.min,time_stats.moe_gate.max,time_stats.moe_gate.mean,time_stats.moe_gate.median,time_stats.moe_gate.std,time_stats.moe_linear.min,time_stats.moe_linear.max,time_stats.moe_linear.mean,time_stats.moe_linear.median,time_stats.moe_linear.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,num_experts,top_k,num_tokens,num_tensor_parallel_workers
0.17500000000000002,0.179,0.1765714285714286,0.176,0.0010033955955097815,0.09,0.091,0.09020000000000002,0.09,0.0004000000000000003,0.301,0.304,0.3022999999999999,0.302,0.0009000000000000007,0.023,0.024,0.023500000000000004,0.0235,0.0005000000000000004,0.263,0.267,0.26385000000000003,0.264,0.0009096702699330133,0.1,0.101,0.1005,0.1005,0.0005000000000000004,0.044,0.045,0.044050000000000006,0.044,0.00021794494717703385,0.34600000000000003,0.35100000000000003,0.3477,0.34750000000000003,0.001228820572744452,0.03,0.031,0.030250000000000006,0.03,0.00043301270189221973,64,4,4096,1536,151936,128,8,4096,4
0.17400000000000002,0.178,0.17557142857142857,0.176,0.0010033955955097741,0.09,0.091,0.09005,0.09,0.00021794494717703385,0.298,0.301,0.29974999999999996,0.3,0.0006224949798994372,0.023,0.024,0.023450000000000006,0.023,0.0004974937185533104,0.26,0.262,0.26145000000000007,0.2615,0.0005894913061275802,0.1,0.101,0.10025000000000002,0.1,0.0004330127018922197,0.043000000000000003,0.044,0.04385000000000001,0.044,0.00035707142142714035,0.34500000000000003,0.35000000000000003,0.3471000000000001,0.34700000000000003,0.0013379088160259665,0.03,0.031,0.030450000000000005,0.03,0.0004974937185533104,64,4,4096,1536,151936,128,8,4096,4
0.17200000000000001,0.178,0.17504761904761904,0.17500000000000002,0.0015879363810031393,0.09,0.091,0.0907,0.091,0.0004582575694955844,0.3,0.302,0.3015,0.302,0.0005916079783099621,0.023,0.024,0.023550000000000005,0.024,0.0004974937185533105,0.262,0.264,0.26330000000000003,0.263,0.0005567764362830027,0.1,0.10200000000000001,0.10140000000000002,0.1015,0.0006633249580710806,0.044,0.044,0.044000000000000004,0.044,6.938893903907228e-18,0.367,0.371,0.36845000000000006,0.368,0.0012835497652993447,0.03,0.031,0.030400000000000003,0.03,0.000489897948556636,64,4,4096,1536,151936,128,8,4064,4
0.17,0.177,0.17304761904761906,0.17300000000000001,0.001703670839999836,0.08700000000000001,0.088,0.08775000000000001,0.088,0.00043301270189221366,0.301,0.305,0.3026,0.303,0.0011135528725660054,0.023,0.024,0.023100000000000002,0.023,0.00030000000000000024,0.262,0.264,0.2632,0.263,0.0006782329983125273,0.097,0.099,0.09810000000000002,0.098,0.00043588989435406776,0.044,0.045,0.044050000000000006,0.044,0.00021794494717703385,0.34700000000000003,0.35100000000000003,0.3494,0.34950000000000003,0.0010677078252031322,0.03,0.031,0.030100000000000005,0.03,0.00030000000000000024,64,4,4096,1536,151936,128,8,4032,4
0.17,0.17400000000000002,0.17190476190476195,0.17200000000000001,0.0010647942749999007,0.08700000000000001,0.088,0.08735,0.08700000000000001,0.00047696960070846663,0.304,0.305,0.3042999999999999,0.304,0.0004582575694955844,0.022,0.023,0.022700000000000005,0.023,0.0004582575694955844,0.263,0.264,0.26355000000000006,0.264,0.0004974937185533104,0.097,0.098,0.09765000000000001,0.098,0.00047696960070847325,0.044,0.044,0.044000000000000004,0.044,6.938893903907228e-18,0.356,0.36,0.3579,0.358,0.0009433981132056611,0.029,0.03,0.029900000000000003,0.03,0.0002999999999999992,64,4,4096,1536,151936,128,8,4000,4
0.167,0.17300000000000001,0.17019047619047617,0.17,0.001592214618790524,0.08600000000000001,0.08700000000000001,0.08685000000000001,0.08700000000000001,0.00035707142142714284,0.301,0.303,0.30169999999999997,0.302,0.0006403124237432853,0.023,0.023,0.023000000000000003,0.023,3.469446951953614e-18,0.245,0.246,0.24559999999999998,0.246,0.0004898979485566361,0.097,0.098,0.09725000000000002,0.097,0.0004330127018922197,0.043000000000000003,0.044,0.04385000000000001,0.044,0.00035707142142714035,0.339,0.34400000000000003,0.3415,0.341,0.0013601470508735455,0.029,0.03,0.029250000000000005,0.029,0.0004330127018922182,64,4,4096,1536,151936,128,8,3968,4
0.167,0.171,0.16942857142857143,0.17,0.0010033955955097856,0.085,0.08600000000000001,0.0852,0.085,0.00040000000000000034,0.301,0.302,0.3015999999999999,0.302,0.000489897948556636,0.023,0.023,0.023000000000000003,0.023,3.469446951953614e-18,0.245,0.246,0.24560000000000004,0.246,0.000489897948556636,0.096,0.098,0.09695000000000001,0.097,0.0004974937185533105,0.044,0.044,0.044000000000000004,0.044,6.938893903907228e-18,0.352,0.355,0.35295000000000004,0.353,0.0009733961166965902,0.029,0.03,0.029050000000000003,0.029,0.00021794494717703315,64,4,4096,1536,151936,128,8,3936,4
0.165,0.17,0.16704761904761903,0.167,0.0013619380615309622,0.084,0.085,0.08465,0.085,0.00047696960070847314,0.301,0.303,0.3020999999999999,0.302,0.0006244997998398403,0.022,0.023,0.022150000000000003,0.022,0.00035707142142714284,0.245,0.247,0.24594999999999997,0.246,0.0007399324293474378,0.095,0.097,0.09535,0.095,0.0005722761571129803,0.043000000000000003,0.044,0.04390000000000001,0.044,0.0002999999999999982,0.341,0.34600000000000003,0.34365,0.34400000000000003,0.0011521718621802922,0.029,0.03,0.029150000000000002,0.029,0.0003570714214271416,64,4,4096,1536,151936,128,8,3904,4
0.164,0.169,0.16604761904761903,0.166,0.0010900498230723436,0.083,0.084,0.0831,0.083,0.00030000000000000024,0.3,0.304,0.30134999999999995,0.301,0.0009096702699330135,0.022,0.023,0.022050000000000004,0.022,0.00021794494717703388,0.244,0.246,0.24545,0.2455,0.0005894913061275802,0.094,0.095,0.09450000000000001,0.0945,0.0005000000000000004,0.043000000000000003,0.044,0.04385000000000001,0.044,0.00035707142142714035,0.34600000000000003,0.35100000000000003,0.34924999999999995,0.34900000000000003,0.001219631091765048,0.028,0.029,0.028900000000000002,0.029,0.0003000000000000003,64,4,4096,1536,151936,128,8,3872,4
0.163,0.167,0.1647142857142857,0.165,0.0010301575072754264,0.082,0.083,0.08205000000000003,0.082,0.00021794494717703385,0.297,0.3,0.29895,0.299,0.0007399324293474377,0.022,0.022,0.022000000000000002,0.022,3.469446951953614e-18,0.242,0.244,0.24295,0.243,0.0006689544080129832,0.093,0.094,0.09385000000000002,0.094,0.00035707142142714284,0.043000000000000003,0.044,0.04305000000000001,0.043000000000000003,0.00021794494717703236,0.322,0.326,0.3235,0.323,0.0013601470508735455,0.028,0.029,0.028250000000000004,0.028,0.00043301270189221973,64,4,4096,1536,151936,128,8,3840,4
0.163,0.168,0.1650952380952381,0.165,0.0013418097908195602,0.082,0.084,0.0829,0.083,0.0004358898943540678,0.3,0.303,0.3016,0.302,0.0006633249580710806,0.022,0.023,0.0221,0.022,0.00030000000000000024,0.244,0.246,0.2452,0.245,0.0006782329983125274,0.095,0.096,0.0956,0.096,0.0004898979485566361,0.043000000000000003,0.044,0.0437,0.044,0.00045825756949558123,0.34500000000000003,0.34900000000000003,0.3470000000000001,0.34700000000000003,0.0012649110640673528,0.028,0.029,0.028550000000000002,0.029,0.0004974937185533104,64,4,4096,1536,151936,128,8,3808,4
