,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.016,0.04,0.030333333333333334,0.035,0.010338708279513883,0,8,2048,all_reduce,8,8
1,0.033,0.038,0.035333333333333335,0.035,0.0020548046676563242,0,8,10240,all_reduce,8,8
2,0.017,0.04,0.02466666666666667,0.017,0.010842303978193728,0,8,18432,all_reduce,8,8
3,0.019,0.02,0.01933333333333333,0.019,0.00047140452079103207,0,8,26624,all_reduce,8,8
4,0.032,0.039,0.03466666666666667,0.033,0.0030912061651652343,0,8,34816,all_reduce,8,8
5,0.02,0.037,0.030333333333333337,0.034,0.007408703590297622,0,8,43008,all_reduce,8,8
6,0.022,0.035,0.030333333333333334,0.034,0.005906681715556452,0,8,51200,all_reduce,8,8
7,0.024,0.036000000000000004,0.028,0.024,0.005656854249492382,0,8,59392,all_reduce,8,8
8,0.034,0.036000000000000004,0.035,0.035,0.0008164965809277268,0,8,67584,all_reduce,8,8
9,0.036000000000000004,0.038,0.037000000000000005,0.037,0.0008164965809277239,0,8,75776,all_reduce,8,8
10,0.037,0.105,0.059666666666666666,0.037,0.03205550741379016,0,8,83968,all_reduce,8,8
11,0.034,0.04,0.037,0.037,0.0024494897427831774,0,8,92160,all_reduce,8,8
12,0.019,0.043000000000000003,0.03266666666666667,0.036000000000000004,0.010077477638553985,0,8,100352,all_reduce,8,8
13,0.036000000000000004,0.038,0.036666666666666674,0.036000000000000004,0.0009428090415820609,0,8,108544,all_reduce,8,8
14,0.02,0.035,0.029333333333333336,0.033,0.006649979114420002,0,8,116736,all_reduce,8,8
15,0.035,0.042,0.037666666666666675,0.036000000000000004,0.0030912061651652343,0,8,124928,all_reduce,8,8
16,0.034,0.044,0.03866666666666666,0.038,0.004109609335312649,0,8,133120,all_reduce,8,8
17,0.037,0.039,0.03833333333333333,0.039,0.0009428090415820641,0,8,141312,all_reduce,8,8
18,0.02,0.038,0.03133333333333333,0.036000000000000004,0.008055363982396382,0,8,149504,all_reduce,8,8
19,0.036000000000000004,0.04,0.03766666666666667,0.037,0.0016996731711975941,0,8,157696,all_reduce,8,8
20,0.034,0.038,0.036000000000000004,0.036000000000000004,0.0016329931618554508,0,8,165888,all_reduce,8,8
21,0.033,0.036000000000000004,0.03466666666666667,0.035,0.0012472191289246482,0,8,174080,all_reduce,8,8
22,0.036000000000000004,0.063,0.04566666666666667,0.038,0.012283683848458852,0,8,182272,all_reduce,8,8
23,0.035,0.04,0.037000000000000005,0.036000000000000004,0.0021602468994692853,0,8,190464,all_reduce,8,8
24,0.037,0.063,0.046000000000000006,0.038,0.012027745701779145,0,8,198656,all_reduce,8,8
25,0.034,0.04,0.036666666666666674,0.036000000000000004,0.0024944382578492934,0,8,206848,all_reduce,8,8
26,0.036000000000000004,0.039,0.037333333333333336,0.037,0.0012472191289246456,0,8,215040,all_reduce,8,8
27,0.035,0.036000000000000004,0.03566666666666667,0.036000000000000004,0.00047140452079103207,0,8,223232,all_reduce,8,8
28,0.034,0.036000000000000004,0.035,0.035,0.0008164965809277268,0,8,231424,all_reduce,8,8
